group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get_bench,kvs,12,,,997065.0,ns,363
get_bench,kvs,12,,,1976262.0,ns,726
get_bench,kvs,12,,,3024858.0,ns,1089
get_bench,kvs,12,,,3906111.0,ns,1452
get_bench,kvs,12,,,4964362.0,ns,1815
get_bench,kvs,12,,,5928986.0,ns,2178
get_bench,kvs,12,,,6927027.0,ns,2541
get_bench,kvs,12,,,7805784.0,ns,2904
get_bench,kvs,12,,,8855486.0,ns,3267
get_bench,kvs,12,,,10064038.0,ns,3630
get_bench,kvs,12,,,10824227.0,ns,3993
get_bench,kvs,12,,,11709676.0,ns,4356
get_bench,kvs,12,,,12747044.0,ns,4719
get_bench,kvs,12,,,13729693.0,ns,5082
get_bench,kvs,12,,,14693706.0,ns,5445
get_bench,kvs,12,,,15904382.0,ns,5808
get_bench,kvs,12,,,16756349.0,ns,6171
get_bench,kvs,12,,,17651015.0,ns,6534
get_bench,kvs,12,,,19135275.0,ns,6897
get_bench,kvs,12,,,20649601.0,ns,7260
get_bench,kvs,12,,,21304085.0,ns,7623
get_bench,kvs,12,,,21805608.0,ns,7986
get_bench,kvs,12,,,22652977.0,ns,8349
get_bench,kvs,12,,,23642358.0,ns,8712
get_bench,kvs,12,,,24759996.0,ns,9075
get_bench,kvs,12,,,25590924.0,ns,9438
get_bench,kvs,12,,,26798072.0,ns,9801
get_bench,kvs,12,,,27606936.0,ns,10164
get_bench,kvs,12,,,28371562.0,ns,10527
get_bench,kvs,12,,,29675637.0,ns,10890
get_bench,kvs,12,,,30357017.0,ns,11253
get_bench,kvs,12,,,31558963.0,ns,11616
get_bench,kvs,12,,,33252341.0,ns,11979
get_bench,kvs,12,,,33563021.0,ns,12342
get_bench,kvs,12,,,34476627.0,ns,12705
get_bench,kvs,12,,,35420510.0,ns,13068
get_bench,kvs,12,,,36579236.0,ns,13431
get_bench,kvs,12,,,37214626.0,ns,13794
get_bench,kvs,12,,,38510523.0,ns,14157
get_bench,kvs,12,,,39435040.0,ns,14520
get_bench,kvs,12,,,40677793.0,ns,14883
get_bench,kvs,12,,,42003830.0,ns,15246
get_bench,kvs,12,,,42663546.0,ns,15609
get_bench,kvs,12,,,43251083.0,ns,15972
get_bench,kvs,12,,,44910198.0,ns,16335
get_bench,kvs,12,,,45798385.0,ns,16698
get_bench,kvs,12,,,46273323.0,ns,17061
get_bench,kvs,12,,,47475511.0,ns,17424
get_bench,kvs,12,,,48224816.0,ns,17787
get_bench,kvs,12,,,49166009.0,ns,18150
get_bench,kvs,12,,,50239060.0,ns,18513
get_bench,kvs,12,,,51056935.0,ns,18876
get_bench,kvs,12,,,52717647.0,ns,19239
get_bench,kvs,12,,,53474807.0,ns,19602
get_bench,kvs,12,,,53981391.0,ns,19965
get_bench,kvs,12,,,55398281.0,ns,20328
get_bench,kvs,12,,,56184306.0,ns,20691
get_bench,kvs,12,,,56975223.0,ns,21054
get_bench,kvs,12,,,58440773.0,ns,21417
get_bench,kvs,12,,,59155211.0,ns,21780
get_bench,kvs,12,,,59880812.0,ns,22143
get_bench,kvs,12,,,62715391.0,ns,22506
get_bench,kvs,12,,,61914109.0,ns,22869
get_bench,kvs,12,,,63339197.0,ns,23232
get_bench,kvs,12,,,64182609.0,ns,23595
get_bench,kvs,12,,,64856089.0,ns,23958
get_bench,kvs,12,,,66039369.0,ns,24321
get_bench,kvs,12,,,67099240.0,ns,24684
get_bench,kvs,12,,,67737405.0,ns,25047
get_bench,kvs,12,,,68854734.0,ns,25410
get_bench,kvs,12,,,70226435.0,ns,25773
get_bench,kvs,12,,,70534944.0,ns,26136
get_bench,kvs,12,,,71770363.0,ns,26499
get_bench,kvs,12,,,73033711.0,ns,26862
get_bench,kvs,12,,,73870581.0,ns,27225
get_bench,kvs,12,,,75570809.0,ns,27588
get_bench,kvs,12,,,76070683.0,ns,27951
get_bench,kvs,12,,,76784667.0,ns,28314
get_bench,kvs,12,,,77895914.0,ns,28677
get_bench,kvs,12,,,78916127.0,ns,29040
get_bench,kvs,12,,,80318824.0,ns,29403
get_bench,kvs,12,,,81111181.0,ns,29766
get_bench,kvs,12,,,81554265.0,ns,30129
get_bench,kvs,12,,,82678168.0,ns,30492
get_bench,kvs,12,,,83631686.0,ns,30855
get_bench,kvs,12,,,84757955.0,ns,31218
get_bench,kvs,12,,,87320547.0,ns,31581
get_bench,kvs,12,,,87043526.0,ns,31944
get_bench,kvs,12,,,87885145.0,ns,32307
get_bench,kvs,12,,,88685049.0,ns,32670
get_bench,kvs,12,,,90183161.0,ns,33033
get_bench,kvs,12,,,90834111.0,ns,33396
get_bench,kvs,12,,,91737562.0,ns,33759
get_bench,kvs,12,,,92744547.0,ns,34122
get_bench,kvs,12,,,94097133.0,ns,34485
get_bench,kvs,12,,,94893952.0,ns,34848
get_bench,kvs,12,,,97439115.0,ns,35211
get_bench,kvs,12,,,96908901.0,ns,35574
get_bench,kvs,12,,,97980092.0,ns,35937
get_bench,kvs,12,,,99301288.0,ns,36300
